"","team","mean","sd","positive","negative","overall","total"
"1","aguero",1.61363636363636,6.00657076641871,21,2,91,23
"2","debruyne",0.357859531772575,2.0189613168643,41,14,75,55
"3","gabriel",0.2578125,1.02139393520137,14,4,78,18
"4","sane",0.901840490797546,4.27050568597045,30,10,75,40
"5","sterling",0.540983606557377,2.48836784930649,60,13,82,73
"6","silva",0.767164179104478,3.50612757280691,50,15,77,65
"7","toure",-0.00835654596100279,1.03699034107939,24,26,48,50
"8","fernandinho",0.22962962962963,1.28097875791131,14,4,78,18
"9","otamendi",0.801724137931034,2.49249247554124,21,6,78,27
"10","kompany",-0.172413793103448,2.08855667041075,3,3,50,6
