"","team","mean","sd","positive","negative","overall","total"
"1","pogba",0.145454545454545,2.02063221429694,45,25,64,70
"2","zlatan",0.158371040723982,2.04878790505138,23,7,77,30
"3","lukaku",0.509375,2.10742177217129,86,25,77,111
"4","martial",0.631578947368421,3.37921637570608,27,13,68,40
"5","matic",0.0677966101694915,3.33148204971519,11,5,69,16
"6","DeGea",0.672222222222222,2.29848275327469,23,7,77,30
"7","rashford",0.60880829015544,2.71978324757713,55,17,76,72
"8","beckham",0.506024096385542,1.02853784421054,13,1,93,14
"9","rooney",0.29,1.25740292836008,44,15,75,59
"10","lingard",1.06369426751592,4.13503097167333,31,12,72,43
"11","herrera",-0.26056338028169,2.58659824102883,14,22,39,36
